datetime,district,T2M,PS,RH2M,expected_temperature,isolation_forest_status,final_status,fault_type,anomaly_score
2026-09-08 02:00:00,Mahbubnagar,23.02,955.53,95.88,22.83,NORMAL,NORMAL,NONE,0.1162
2026-09-08 03:00:00,Hyderabad,22.54,948.98,97.94,22.56,NORMAL,NORMAL,NONE,0.0181
2026-09-08 03:00:00,Medak,21.75,948.33,96.53,22.5,NORMAL,NORMAL,NONE,0.1252
2026-09-08 03:00:00,Sangareddy,22.19,942.42,96.62,22.07,NORMAL,NORMAL,NONE,0.1032
2026-09-08 03:00:00,Hanamkonda,21.04,969.52,97.81,23.6,NORMAL,NORMAL,NONE,0.0265
2026-09-08 03:00:00,Nizamabad,23.24,957.25,96.27,22.98,NORMAL,NORMAL,NONE,0.1056
2026-09-08 03:00:00,Karimnagar,23.83,975.04,93.27,23.94,NORMAL,NORMAL,NONE,0.0908
2026-09-08 03:00:00,Khammam,24.08,990.73,95.87,24.53,NORMAL,NORMAL,NONE,0.1209
2026-09-08 03:00:00,Mahbubnagar,21.62,957.46,94.6,22.62,NORMAL,NORMAL,NONE,0.0813
2026-09-08 04:00:00,Hyderabad,23.89,950.49,98.24,22.41,NORMAL,NORMAL,NONE,0.0148
2026-09-08 04:00:00,Medak,21.59,948.38,93.58,22.35,NORMAL,NORMAL,NONE,0.0908
2026-09-08 04:00:00,Sangareddy,22.78,942.09,99.31,21.92,NORMAL,NORMAL,NONE,0.0696
2026-09-08 04:00:00,Hanamkonda,24.15,970.47,95.22,23.47,NORMAL,NORMAL,NONE,0.0734
2026-09-08 04:00:00,Nizamabad,23.13,956.46,100.0,22.82,NORMAL,NORMAL,NONE,0.0877
2026-09-08 04:00:00,Karimnagar,24.17,975.16,97.53,23.79,NORMAL,NORMAL,NONE,0.1275
2026-09-08 04:00:00,Khammam,25.58,990.47,95.01,24.38,NORMAL,NORMAL,NONE,0.0722
2026-09-08 04:00:00,Mahbubnagar,22.32,956.99,96.71,22.44,NORMAL,NORMAL,NONE,0.135
2026-09-08 05:00:00,Hyderabad,23.04,951.21,95.57,22.3,NORMAL,NORMAL,NONE,0.126
2026-09-08 05:00:00,Medak,22.47,947.25,95.12,22.22,NORMAL,NORMAL,NONE,0.0671
2026-09-08 05:00:00,Sangareddy,45.76,942.6,100.0,21.82,ANOMALY,ANOMALY,SPIKE,-0.0834
2026-09-08 05:00:00,Hanamkonda,23.56,970.36,93.39,23.36,NORMAL,NORMAL,NONE,0.105
2026-09-08 05:00:00,Nizamabad,20.92,957.24,97.31,22.69,NORMAL,NORMAL,NONE,0.082
2026-09-08 05:00:00,Karimnagar,24.15,976.1,92.25,23.67,NORMAL,NORMAL,NONE,0.0708
2026-09-08 05:00:00,Khammam,23.02,989.95,96.95,24.28,NORMAL,NORMAL,NONE,0.0693
2026-09-08 05:00:00,Mahbubnagar,21.55,957.88,96.19,22.31,NORMAL,NORMAL,NONE,0.1252
2026-09-08 06:00:00,Hyderabad,23.42,950.7,94.45,22.82,NORMAL,NORMAL,NONE,0.1389
2026-09-08 06:00:00,Medak,23.76,949.91,94.59,22.71,NORMAL,NORMAL,NONE,0.0879
2026-09-08 06:00:00,Sangareddy,22.41,944.05,93.99,22.33,ANOMALY,ANOMALY,NONE,-0.0181
2026-09-08 06:00:00,Hanamkonda,24.26,971.4,98.43,23.94,NORMAL,NORMAL,NONE,0.0692
2026-09-08 06:00:00,Nizamabad,23.17,958.81,93.24,23.17,NORMAL,NORMAL,NONE,0.0658
2026-09-08 06:00:00,Karimnagar,24.29,978.63,94.42,24.26,NORMAL,NORMAL,NONE,0.0925
2026-09-08 06:00:00,Khammam,25.88,991.35,96.83,24.93,NORMAL,NORMAL,NONE,0.0316
2026-09-08 06:00:00,Mahbubnagar,23.26,957.58,94.51,22.84,NORMAL,NORMAL,NONE,0.1276
2026-09-08 07:00:00,Hyderabad,22.88,952.84,90.11,23.84,NORMAL,NORMAL,NONE,0.0912
2026-09-08 07:00:00,Medak,22.66,951.1,96.39,23.67,NORMAL,NORMAL,NONE,0.0765
2026-09-08 07:00:00,Sangareddy,22.77,945.03,94.57,23.33,NORMAL,NORMAL,NONE,0.0289
2026-09-08 07:00:00,Hanamkonda,23.88,971.62,93.64,24.97,NORMAL,NORMAL,NONE,0.1335
2026-09-08 07:00:00,Nizamabad,24.31,958.66,90.85,24.12,NORMAL,NORMAL,NONE,0.1398
2026-09-08 07:00:00,Karimnagar,25.95,976.75,90.79,25.28,NORMAL,NORMAL,NONE,0.065
2026-09-08 07:00:00,Khammam,25.12,992.48,89.73,25.97,NORMAL,NORMAL,NONE,0.0952
2026-09-08 07:00:00,Mahbubnagar,23.8,957.48,89.78,23.96,NORMAL,NORMAL,NONE,0.1445
2026-09-08 08:00:00,Hyderabad,23.21,952.05,85.29,25.16,NORMAL,NORMAL,NONE,0.0996
2026-09-08 08:00:00,Medak,23.74,951.31,88.24,24.88,NORMAL,NORMAL,NONE,0.1022
2026-09-08 08:00:00,Sangareddy,23.73,946.73,87.94,24.6,ANOMALY,ANOMALY,NONE,-0.0042
2026-09-08 08:00:00,Hanamkonda,25.17,973.38,82.12,26.26,NORMAL,NORMAL,NONE,0.0703
2026-09-08 08:00:00,Nizamabad,24.05,960.31,86.33,25.33,NORMAL,NORMAL,NONE,0.102
2026-09-08 08:00:00,Karimnagar,27.47,979.04,83.06,26.54,NORMAL,NORMAL,NONE,0.0742
2026-09-08 08:00:00,Khammam,28.16,993.06,85.6,27.29,NORMAL,NORMAL,NONE,0.0891
2026-09-08 08:00:00,Mahbubnagar,25.35,959.8,79.48,25.42,NORMAL,NORMAL,NONE,0.0958
2026-09-08 09:00:00,Hyderabad,26.81,951.81,79.83,26.35,NORMAL,NORMAL,NONE,0.1099
2026-09-08 09:00:00,Medak,25.23,950.33,81.94,26.0,NORMAL,NORMAL,NONE,0.0948
2026-09-08 09:00:00,Sangareddy,25.38,944.73,82.91,25.78,ANOMALY,ANOMALY,NONE,-0.005
2026-09-08 09:00:00,Hanamkonda,27.99,971.33,81.96,27.36,NORMAL,NORMAL,NONE,0.0903
2026-09-08 09:00:00,Nizamabad,26.53,959.33,82.01,26.43,NORMAL,NORMAL,NONE,0.1001
2026-09-08 09:00:00,Karimnagar,27.46,978.78,82.67,27.59,NORMAL,NORMAL,NONE,0.1396
2026-09-08 09:00:00,Khammam,27.45,992.47,79.39,28.43,NORMAL,NORMAL,NONE,0.1202
2026-09-08 09:00:00,Mahbubnagar,27.09,959.05,74.31,26.77,NORMAL,NORMAL,NONE,0.1279
2026-09-08 10:00:00,Hyderabad,26.91,953.68,77.78,27.24,NORMAL,NORMAL,NONE,0.1229
2026-09-08 10:00:00,Medak,27.11,950.95,79.74,26.9,NORMAL,NORMAL,NONE,0.1262
2026-09-08 10:00:00,Sangareddy,26.09,944.68,77.07,26.73,NORMAL,NORMAL,NONE,0.054
2026-09-08 10:00:00,Hanamkonda,27.1,970.82,77.43,28.16,NORMAL,NORMAL,NONE,0.1371
2026-09-08 10:00:00,Nizamabad,26.53,959.3,79.61,27.31,NORMAL,NORMAL,NONE,0.1554
2026-09-08 10:00:00,Karimnagar,28.69,977.17,78.2,28.36,NORMAL,NORMAL,NONE,0.1006
2026-09-08 10:00:00,Khammam,30.91,991.61,73.93,29.28,NORMAL,NORMAL,NONE,0.0674
2026-09-08 10:00:00,Mahbubnagar,28.44,958.2,70.83,27.82,NORMAL,NORMAL,NONE,0.1304
2026-09-08 11:00:00,Hyderabad,28.23,952.91,74.23,27.84,NORMAL,NORMAL,NONE,0.1295
2026-09-08 11:00:00,Medak,26.57,948.98,77.59,27.54,NORMAL,NORMAL,NONE,0.1118
2026-09-08 11:00:00,Sangareddy,26.51,944.11,72.24,27.39,NORMAL,NORMAL,NONE,0.1354
2026-09-08 11:00:00,Hanamkonda,28.73,971.26,74.43,28.7,NORMAL,NORMAL,NONE,0.143
2026-09-08 11:00:00,Nizamabad,26.53,957.61,75.84,27.94,NORMAL,NORMAL,NONE,0.115
2026-09-08 11:00:00,Karimnagar,27.67,977.21,76.63,28.89,NORMAL,NORMAL,NONE,0.1534
2026-09-08 11:00:00,Khammam,29.9,991.18,72.59,29.85,NORMAL,NORMAL,NONE,0.1343
2026-09-08 11:00:00,Mahbubnagar,27.39,957.09,68.12,28.55,NORMAL,NORMAL,NONE,0.1184
2026-09-08 12:00:00,Hyderabad,28.42,952.28,74.92,28.17,NORMAL,NORMAL,NONE,0.1419
2026-09-08 12:00:00,Medak,28.64,949.78,75.51,27.9,NORMAL,NORMAL,NONE,0.125
2026-09-08 12:00:00,Sangareddy,27.48,942.92,68.89,27.77,NORMAL,NORMAL,NONE,0.0982
2026-09-08 12:00:00,Hanamkonda,27.0,969.79,72.05,28.99,NORMAL,NORMAL,NONE,0.0913
2026-09-08 12:00:00,Nizamabad,26.53,957.96,74.64,28.31,NORMAL,ANOMALY,STUCK,0.1577
2026-09-08 12:00:00,Karimnagar,30.11,976.03,74.55,29.19,NORMAL,NORMAL,NONE,0.0969
2026-09-08 12:00:00,Khammam,31.26,992.02,73.6,30.16,NORMAL,NORMAL,NONE,0.1039
2026-09-08 12:00:00,Mahbubnagar,29.54,956.34,67.3,28.96,NORMAL,NORMAL,NONE,0.1224
2026-09-08 13:00:00,Hyderabad,29.46,949.55,70.66,28.24,NORMAL,NORMAL,NONE,0.0904
2026-09-08 13:00:00,Medak,28.6,947.86,74.54,28.01,NORMAL,NORMAL,NONE,0.1118
2026-09-08 13:00:00,Sangareddy,28.44,943.32,76.78,27.85,NORMAL,NORMAL,NONE,0.1024
2026-09-08 13:00:00,Hanamkonda,29.81,969.24,72.86,29.05,NORMAL,NORMAL,NONE,0.1091
2026-09-08 13:00:00,Nizamabad,26.53,955.63,73.94,28.42,NORMAL,ANOMALY,STUCK,0.0975
2026-09-08 13:00:00,Karimnagar,29.38,973.54,73.35,29.26,NORMAL,NORMAL,NONE,0.0716
2026-09-08 13:00:00,Khammam,30.11,990.4,70.93,30.23,NORMAL,NORMAL,NONE,0.0986
2026-09-08 13:00:00,Mahbubnagar,29.28,957.34,66.86,29.08,NORMAL,NORMAL,NONE,0.1328
2026-09-08 14:00:00,Hyderabad,27.41,949.45,70.1,28.04,NORMAL,NORMAL,NONE,0.1243
2026-09-08 14:00:00,Medak,28.45,949.41,73.08,27.86,NORMAL,NORMAL,NONE,0.1144
2026-09-08 14:00:00,Sangareddy,27.21,941.79,73.32,27.68,NORMAL,NORMAL,NONE,0.0962
2026-09-08 14:00:00,Hanamkonda,29.72,970.69,75.83,28.85,NORMAL,NORMAL,NONE,0.1197
2026-09-08 14:00:00,Nizamabad,26.53,956.75,78.39,28.29,NORMAL,ANOMALY,STUCK,0.0953
2026-09-08 14:00:00,Karimnagar,28.98,975.86,77.52,29.09,NORMAL,NORMAL,NONE,0.0986
2026-09-08 14:00:00,Khammam,31.11,989.27,71.44,30.05,NORMAL,NORMAL,NONE,0.1032
2026-09-08 14:00:00,Mahbubnagar,30.58,955.27,63.84,28.92,NORMAL,NORMAL,NONE,0.1002
2026-09-08 15:00:00,Hyderabad,26.65,949.95,75.06,27.61,NORMAL,NORMAL,NONE,0.1165
2026-09-08 15:00:00,Medak,25.51,946.63,77.43,27.49,NORMAL,NORMAL,NONE,0.0446
2026-09-08 15:00:00,Sangareddy,26.65,940.66,72.71,27.28,NORMAL,NORMAL,NONE,0.1011
2026-09-08 15:00:00,Hanamkonda,28.68,970.39,77.97,28.46,NORMAL,NORMAL,NONE,0.1574
2026-09-08 15:00:00,Nizamabad,27.36,956.08,76.83,27.93,NORMAL,NORMAL,NONE,0.1262
2026-09-08 15:00:00,Karimnagar,28.26,975.08,78.79,28.73,NORMAL,NORMAL,NONE,0.1366
2026-09-08 15:00:00,Khammam,31.6,988.8,79.65,29.66,NORMAL,NORMAL,NONE,0.0989
2026-09-08 15:00:00,Mahbubnagar,28.96,955.72,71.43,28.5,NORMAL,NORMAL,NONE,0.131
2026-09-08 16:00:00,Hyderabad,26.16,949.8,81.36,26.89,NORMAL,NORMAL,NONE,0.1369
2026-09-08 16:00:00,Medak,26.81,947.48,80.4,26.86,NORMAL,NORMAL,NONE,0.1251
2026-09-08 16:00:00,Sangareddy,26.63,943.15,78.2,26.58,NORMAL,NORMAL,NONE,0.099
2026-09-08 16:00:00,Hanamkonda,27.21,970.65,82.93,27.81,NORMAL,NORMAL,NONE,0.1438
2026-09-08 16:00:00,Nizamabad,27.2,956.85,81.7,27.33,NORMAL,NORMAL,NONE,0.1407
2026-09-08 16:00:00,Karimnagar,28.81,974.09,84.45,28.12,NORMAL,NORMAL,NONE,0.1003
2026-09-08 16:00:00,Khammam,28.8,990.09,79.84,28.96,NORMAL,NORMAL,NONE,0.08
2026-09-08 16:00:00,Mahbubnagar,27.48,955.09,77.23,27.72,NORMAL,NORMAL,NONE,0.131
2026-09-08 17:00:00,Hyderabad,24.94,949.25,85.79,25.67,NORMAL,NORMAL,NONE,0.1286
2026-09-08 17:00:00,Medak,25.7,948.26,86.92,25.76,NORMAL,NORMAL,NONE,0.1278
2026-09-08 17:00:00,Sangareddy,24.78,942.14,91.34,25.4,NORMAL,NORMAL,NONE,0.0602
2026-09-08 17:00:00,Hanamkonda,26.89,969.8,88.8,26.66,NORMAL,NORMAL,NONE,0.1271
2026-09-08 17:00:00,Nizamabad,25.48,956.09,88.09,26.25,NORMAL,NORMAL,NONE,0.1138
2026-09-08 17:00:00,Karimnagar,27.47,975.45,87.86,27.0,NORMAL,NORMAL,NONE,0.1128
2026-09-08 17:00:00,Khammam,30.21,990.62,86.99,27.74,NORMAL,NORMAL,NONE,0.0787
2026-09-08 17:00:00,Mahbubnagar,26.89,956.92,81.89,26.36,NORMAL,NORMAL,NONE,0.1269
2026-09-08 18:00:00,Hyderabad,24.08,950.29,92.66,24.8,NORMAL,NORMAL,NONE,0.1028
2026-09-08 18:00:00,Medak,25.35,948.36,89.97,24.89,NORMAL,NORMAL,NONE,0.1548
2026-09-08 18:00:00,Sangareddy,24.73,942.7,93.46,24.48,NORMAL,NORMAL,NONE,0.1357
2026-09-08 18:00:00,Hanamkonda,26.11,971.77,90.17,25.89,NORMAL,NORMAL,NONE,0.1202
2026-09-08 18:00:00,Nizamabad,26.13,958.13,91.82,25.4,NORMAL,NORMAL,NONE,0.1115
2026-09-08 18:00:00,Karimnagar,26.91,975.83,90.38,26.24,NORMAL,NORMAL,NONE,0.1532
2026-09-08 18:00:00,Khammam,31.65,989.77,85.55,27.01,NORMAL,NORMAL,NONE,0.0485
2026-09-08 18:00:00,Mahbubnagar,25.02,958.04,85.27,25.38,NORMAL,NORMAL,NONE,0.1012
2026-09-08 19:00:00,Hyderabad,25.29,950.96,93.04,24.48,NORMAL,NORMAL,NONE,0.1315
2026-09-08 19:00:00,Medak,24.8,948.55,91.65,24.58,NORMAL,NORMAL,NONE,0.1545
2026-09-08 19:00:00,Sangareddy,24.83,943.63,96.14,24.17,NORMAL,NORMAL,NONE,0.1028
2026-09-08 19:00:00,Hanamkonda,24.49,972.0,90.27,25.57,NORMAL,NORMAL,NONE,0.135
2026-09-08 19:00:00,Nizamabad,26.27,958.2,90.63,25.08,NORMAL,NORMAL,NONE,0.151
2026-09-08 19:00:00,Karimnagar,26.16,975.96,92.5,25.92,NORMAL,NORMAL,NONE,0.1548
2026-09-08 19:00:00,Khammam,33.0,992.36,89.36,26.66,NORMAL,ANOMALY,DRIFT,0.0305
2026-09-08 19:00:00,Mahbubnagar,24.9,957.03,89.8,25.04,NORMAL,NORMAL,NONE,0.1093
2026-09-08 20:00:00,Hyderabad,24.91,952.05,92.32,24.18,NORMAL,NORMAL,NONE,0.1269
2026-09-08 20:00:00,Medak,23.82,950.89,94.84,24.26,NORMAL,NORMAL,NONE,0.0979
2026-09-08 20:00:00,Sangareddy,24.21,943.9,91.16,23.87,NORMAL,NORMAL,NONE,0.1252
2026-09-08 20:00:00,Hanamkonda,25.43,971.83,92.77,25.25,NORMAL,NORMAL,NONE,0.147
2026-09-08 20:00:00,Nizamabad,23.97,957.95,94.2,24.75,NORMAL,NORMAL,NONE,0.124
2026-09-08 20:00:00,Karimnagar,25.42,978.7,89.45,25.6,NORMAL,NORMAL,NONE,0.0927
2026-09-08 20:00:00,Khammam,35.38,991.26,95.58,26.3,ANOMALY,ANOMALY,DRIFT,-0.0117
2026-09-08 20:00:00,Mahbubnagar,23.17,957.08,90.38,24.72,NORMAL,NORMAL,NONE,0.1207
2026-09-08 21:00:00,Hyderabad,24.21,952.01,93.7,23.89,NORMAL,NORMAL,NONE,0.1534
2026-09-08 21:00:00,Medak,23.58,950.38,93.71,23.97,NORMAL,NORMAL,NONE,0.1347
2026-09-08 21:00:00,Sangareddy,23.63,943.73,93.49,23.57,NORMAL,NORMAL,NONE,0.144
2026-09-08 21:00:00,Hanamkonda,25.12,973.83,93.3,24.94,NORMAL,NORMAL,NONE,0.1082
2026-09-08 21:00:00,Nizamabad,25.28,959.1,95.64,24.44,NORMAL,NORMAL,NONE,0.1027
2026-09-08 21:00:00,Karimnagar,24.28,978.32,94.32,25.3,NORMAL,NORMAL,NONE,0.0979
2026-09-08 21:00:00,Khammam,36.47,991.82,91.28,25.96,NORMAL,ANOMALY,DRIFT,0.0412
2026-09-08 21:00:00,Mahbubnagar,23.47,958.48,86.76,24.38,NORMAL,NORMAL,NONE,0.1066
2026-09-08 22:00:00,Hyderabad,23.05,950.04,97.16,23.62,NORMAL,NORMAL,NONE,0.0738
2026-09-08 22:00:00,Medak,23.83,948.98,99.95,23.67,NORMAL,NORMAL,NONE,0.0438
2026-09-08 22:00:00,Sangareddy,21.58,943.29,96.66,23.28,NORMAL,NORMAL,NONE,0.081
2026-09-08 22:00:00,Hanamkonda,23.55,971.99,94.11,24.66,NORMAL,NORMAL,NONE,0.0792
2026-09-08 22:00:00,Nizamabad,23.95,958.08,93.74,24.15,NORMAL,NORMAL,NONE,0.1139
2026-09-08 22:00:00,Karimnagar,25.38,977.24,93.5,25.01,NORMAL,NORMAL,NONE,0.0951
2026-09-08 22:00:00,Khammam,36.67,992.35,94.49,25.66,NORMAL,ANOMALY,DRIFT,0.0425
2026-09-08 22:00:00,Mahbubnagar,23.42,958.23,89.96,24.05,NORMAL,NORMAL,NONE,0.1545
2026-09-08 23:00:00,Hyderabad,22.96,952.11,94.75,23.37,NORMAL,NORMAL,NONE,0.114
2026-09-08 23:00:00,Medak,24.04,949.89,94.85,23.39,NORMAL,NORMAL,NONE,0.1181
2026-09-08 23:00:00,Sangareddy,22.84,944.1,93.52,22.99,NORMAL,NORMAL,NONE,0.1052
2026-09-08 23:00:00,Hanamkonda,24.44,972.06,94.26,24.39,NORMAL,NORMAL,NONE,0.1456
2026-09-08 23:00:00,Nizamabad,24.89,958.9,95.26,23.87,NORMAL,NORMAL,NONE,0.1128
2026-09-08 23:00:00,Karimnagar,25.77,976.38,95.07,24.73,NORMAL,NORMAL,NONE,0.1023
2026-09-08 23:00:00,Khammam,39.0,989.06,96.01,25.38,ANOMALY,ANOMALY,DRIFT,-0.0246
2026-09-08 23:00:00,Mahbubnagar,24.25,956.96,91.2,23.71,NORMAL,NORMAL,NONE,0.1038
